mcd,pop2010,changePop,pop2020,emp2010,changeEmp,emp2020
Philadelphia,1529207,1.64,1554303,723766,1.12,731860
Millbourne,1159,0.95,1170,399,1.00,403
Upper Darby,82795,0.56,83260,22112,0.41,22202
East Lansdowne,2668,-0.11,2665,515,-0.39,513
Lansdowne,10620,-0.25,10593,2507,-0.24,2501
Yeadon,11443,-0.37,11401,1927,-0.31,1921
Darby,19951,-0.05,19941,5384,0.07,5388
Colwyn,2546,0.79,2566,270,1.11,273
Sharon Hill,5697,0.12,5704,2788,0.11,2791
Collingdale,8786,0.41,8822,1939,0.46,1948
Aldan,4152,0.10,4156,849,0.12,850
Clifton Heights,6652,-0.05,6649,1978,0.05,1979
Folcroft,6606,-0.50,6573,3384,-0.47,3368
Glenolden,7153,-0.13,7144,2193,0.05,2194
Norwood,5890,-0.10,5884,830,0.24,832
Tinicum,8086,4.59,8457,11654,0.29,11688
Prospect Park,6454,0.12,6462,1464,0.20,1467
Ridley Park,7002,0.09,7008,3048,0.13,3052
Ridley,30768,-0.17,30715,8051,-0.81,7986
Rutledge,784,0.00,784,133,0.00,133
Eddystone,2410,-0.12,2407,3005,-0.17,3000
Chester,37912,0.17,37977,14532,0.30,14575
Parkside,2328,0.21,2333,293,0.34,294
Brookhaven,8006,0.34,8033,2200,0.32,2207
Upland,3239,-0.06,3237,1815,-1.05,1796
Trainer,1828,-0.98,1810,1278,-1.02,1265
Marcus Hook,2397,0.33,2405,2876,0.28,2884
Lower Chichester,3469,-0.09,3466,1183,-0.08,1182
Upper Chichester,16738,0.61,16840,6097,0.61,6134
Aston,16592,0.42,16662,6990,0.40,7018
Chester Heights,2531,0.36,2540,1241,0.48,1247
Middletown,61243,3.60,63445,35277,1.54,35820
Rose Valley,913,1.86,930,242,1.24,245
Nether Providence,13706,0.20,13733,3816,0.26,3826
Media,5327,0.39,5348,10517,0.33,10552
Swarthmore,6194,0.18,6205,2060,0.44,2069
Morton,2669,0.04,2670,1278,0.08,1279
Springfield,48664,1.00,49149,21730,0.77,21897
Upper Providence,31361,4.97,32919,20425,5.70,21590
Marple,23428,-0.20,23382,12277,-0.20,12253
Haverford,48491,0.04,48510,14380,0.01,14381
Radnor,31531,0.20,31594,21419,0.39,21502
Newtown,33763,1.12,34140,25886,1.31,26226
Edgmont,3987,3.16,4113,2048,3.66,2123
Thornbury,11045,3.35,11415,4092,3.67,4242
Chadds Ford,3640,2.47,3730,3089,2.95,3180
Concord,17231,2.34,17635,10397,2.38,10644
Bethel,8791,1.72,8942,1751,1.66,1780
